Feature,Interest_2425,Compound_Name,Adduct,Precursor_MZ,ExactMass,LibraryQualityString,NPC_Class,NPC_Pathway,ClassyFire_Class
648569,Yes,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",M+H,281.248,280.24,Bronze,Polyamines,Alkaloids,Secondary amines
648593,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Secondary amines
648716,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,N-aliphatic s-triazines
648955,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Lineolic acids and derivatives
648964,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Lineolic acids and derivatives
64899,Yes,NA,NA,NA,NA,NA,Dipeptides,Alkaloids,1-hydroxy-2-unsubstituted benzenoids
649219,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Lineolic acids and derivatives
64924,Yes,NA,NA,NA,NA,NA,Pyridine alkaloids,Alkaloids,1-hydroxy-2-unsubstituted benzenoids
649496,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Long-chain fatty acids
649878,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Alkylarylthioethers
650069,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Lineolic acids and derivatives
65074,Yes,NA,NA,NA,NA,NA,Benzodiazepine alkaloids,Alkaloids,Alpha amino acids and derivatives
65133,Yes,NA,NA,NA,NA,NA,Quinazoline alkaloids,Alkaloids,Benzene and substituted derivatives
65294,Yes,NA,NA,NA,NA,NA,Quinazoline alkaloids,Alkaloids,Benzene and substituted derivatives
653018,Yes,NA,NA,NA,NA,NA,Pyridine alkaloids,Alkaloids,Diphenylmethanes
65330,Yes,NA,NA,NA,NA,NA,Pyridine alkaloids,Alkaloids,1-hydroxy-2-unsubstituted benzenoids
65388,Yes,NA,NA,NA,NA,NA,Quinoline alkaloids,Alkaloids,Diazanaphthalenes
65553,Yes,NA,NA,NA,NA,NA,Aminoacids,Terpenoids,Thiazolidines
65835,Yes,NA,NA,NA,NA,NA,Purine alkaloids,Alkaloids,Aminotriazines
65884,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Alkylarylthioethers
65908,Yes,NA,NA,NA,NA,NA,Piperidine alkaloids,Alkaloids,Azacyclic compounds
65953,Yes,NA,NA,NA,NA,NA,NA,NA,NA
66103,Yes,NA,NA,NA,NA,NA,NA,NA,NA
663685,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Long-chain fatty acids
66593,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Alkanolamines
666581,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Long-chain fatty acids
667010,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Long-chain fatty acids
66772,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Amines
67014,Yes,NA,NA,NA,NA,NA,NA,NA,NA
67094,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alanine and derivatives
67100,Yes,NA,NA,NA,NA,NA,Simple oxindole alkaloids,Alkaloids,Indolyl carboxylic acids and derivatives
67133,Yes,NA,NA,NA,NA,NA,Phenylalanine-derived alkaloids,Alkaloids,Carbamate esters
67155,Yes,NA,NA,NA,NA,NA,NA,NA,NA
67161,Yes,NA,NA,NA,NA,NA,Simple indole alkaloids,Alkaloids,Benzenoids
67173,Yes,NA,NA,NA,NA,NA,Simple indole alkaloids,Alkaloids,Benzenoids
67187,Yes,NA,NA,NA,NA,NA,Simple indole alkaloids,Alkaloids,Phenylpropanes
67226,Yes,NA,NA,NA,NA,NA,Simple indole alkaloids,Alkaloids,Benzenoids
67246,Yes,NA,NA,NA,NA,NA,Simple amide alkaloids,Alkaloids,Anisoles
67292,Yes,NA,NA,NA,NA,NA,NA,NA,NA
67358,Yes,NA,NA,NA,NA,NA,Simple indole alkaloids,Alkaloids,Benzene and substituted derivatives
67360,Yes,NA,NA,NA,NA,NA,Quinoline alkaloids,Alkaloids,Benzenoids
67540,Yes,NA,NA,NA,NA,NA,Simple indole alkaloids,Alkaloids,Benzene and substituted derivatives
67593,Yes,NA,NA,NA,NA,NA,Simple indole alkaloids,Alkaloids,1-hydroxy-2-unsubstituted benzenoids
67604,Yes,NA,NA,NA,NA,NA,Simple amide alkaloids,Alkaloids,Anilides
67670,Yes,NA,NA,NA,NA,NA,Phenylethylamines,Alkaloids,Benzoxazines
6770,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Imidazoles
6795,Yes,NA,NA,NA,NA,NA,Pyrazine and Piperazine alkaloids,Alkaloids,Azoles
6819,Yes,NA,NA,NA,NA,NA,Imidazole alkaloids,Alkaloids,Imidazoles
684205,Yes,NA,NA,NA,NA,NA,Aminoacids,Alkaloids,Organoheterocyclic compounds
684745,Yes,NA,NA,NA,NA,NA,NA,NA,NA
6891,Yes,NA,NA,NA,NA,NA,Imidazole alkaloids,Alkaloids,Acetamides
70142,Yes,NA,NA,NA,NA,NA,NA,NA,NA
70148,Yes,NA,NA,NA,NA,NA,NA,NA,NA
70172,Yes,NA,NA,NA,NA,NA,Simple phenolic acids,Shikimates and Phenylpropanoids,Benzenesulfonyl compounds
70212,Yes,NA,NA,NA,NA,NA,NA,NA,NA
70220,Yes,NA,NA,NA,NA,NA,Simple phenolic acids,Shikimates and Phenylpropanoids,1-hydroxy-2-unsubstituted benzenoids
70233,Yes,NA,NA,NA,NA,NA,NA,NA,NA
70240,Yes,NA,NA,NA,NA,NA,NA,NA,NA
70269,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Organonitrogen compounds
70395,Yes,NA,NA,NA,NA,NA,NA,NA,NA
70484,Yes,NA,NA,NA,NA,NA,NA,NA,NA
