Feature,Interest_2425,Compound_Name,Adduct,Precursor_MZ,ExactMass,LibraryQualityString,NPC_Class,NPC_Pathway,ClassyFire_Class
100199,Yes,NA,NA,NA,NA,NA,Phenylalanine-derived alkaloids,Alkaloids,Aralkylamines
100206,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Organonitrogen compounds
100215,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Dialkylthioethers
100235,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Sulfenyl compounds
100238,Yes,NA,NA,NA,NA,NA,Catechols with side chains,Terpenoids,Organooxygen compounds
100246,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Dialkylthioethers
100301,Yes,NA,NA,NA,NA,NA,NA,NA,NA
100312,Yes,NA,NA,NA,NA,NA,NA,NA,NA
100367,Yes,NA,NA,NA,NA,NA,NA,NA,NA
100392,Yes,NA,NA,NA,NA,NA,NA,NA,NA
100415,Yes,NA,NA,NA,NA,NA,NA,NA,NA
100477,Yes,NA,NA,NA,NA,NA,NA,NA,NA
100483,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1004911,Yes,Docosahexaenoic acid - 40.0 eV,M+H,329.248,0,Gold,Androstane steroids,Terpenoids,Lipids and lipid-like molecules
1004975,Yes,NA,NA,NA,NA,NA,Fatty alcohols,Fatty acids,Fatty Acyls
1004988,Yes,Docosahexaenoic acid - 40.0 eV,M+H,329.248,0,Gold,Unsaturated fatty acids,Fatty acids,Fatty acids and conjugates
1005004,Yes,NA,NA,NA,NA,NA,Pregnane steroids,Terpenoids,Lipids and lipid-like molecules
1005005,Yes,NA,NA,NA,NA,NA,Branched fatty acids,Fatty acids,Fatty acid esters
100504,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1005052,Yes,Docosahexaenoic acid - 40.0 eV,M+H,329.248,0,Gold,Pregnane steroids,Terpenoids,Hydroxysteroids
1005136,Yes,NA,NA,NA,NA,NA,Other Docosanoids,Fatty acids,Unsaturated fatty acids
1005164,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Straight chain fatty acids
1005260,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Very long-chain fatty acids
100528,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Thioureas
100543,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Sulfenyl compounds
100669,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1008584,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,"1,3,5-triazines"
100906,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Organonitrogen compounds
100942,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Organonitrogen compounds
1009431,Yes,NA,NA,NA,NA,NA,Purine alkaloids,Amino acids and Peptides,Alpha amino acids and derivatives
1009660,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Peptides
101022,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Organonitrogen compounds
101068,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,S-alkyl thiosulfates
1010995,Yes,NA,NA,NA,NA,NA,Purine alkaloids,Alkaloids,6-aminopurines
101103,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Primary amines
1016517,Yes,NA,NA,NA,NA,NA,Other Eicosanoids,Fatty acids,Prenol lipids
1016667,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Alkylarylthioethers
1016778,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Straight chain fatty acids
1017306,Yes,"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate [IIN-based on: CCMSLIB00000849057]",[M+H]+,331.283,330.276,Bronze,Monoacylglycerols,Fatty acids,1-monoacylglycerols
1017336,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,1-monoacylglycerols
1017346,Yes,"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate",M+H,331.284,330.277,Gold,Monoacylglycerols,Fatty acids,1-monoacylglycerols
1017551,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Fatty alcohols
1017974,Yes,"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate [IIN-based on: CCMSLIB00000849057]",[M+H]+,331.283,330.276,Bronze,Monoacylglycerols,Fatty acids,Monoacylglycerols
1018001,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,1-monoacylglycerols
1018130,Yes,"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate [IIN-based on: CCMSLIB00000849057]",[M+H]+,331.283,330.276,Bronze,Monoacylglycerols,Fatty acids,1-monoacylglycerols
1021348,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Peptides
102587,Yes,NA,NA,NA,NA,NA,Fatty alcohols,Fatty acids,Organosulfonic acids and derivatives
102591,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Benzene and substituted derivatives
102599,Yes,NA,NA,NA,NA,NA,Fatty alcohols,Fatty acids,Sulfonyls
102609,Yes,NA,NA,NA,NA,NA,Fatty alcohols,Fatty acids,Organosulfur compounds
102622,Yes,NA,NA,NA,NA,NA,Aminoacids,Alkaloids,Organophosphine oxides
102639,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Thioethers
102652,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Hydrazines and derivatives
102656,Yes,NA,NA,NA,NA,NA,Phenylethylamines,Alkaloids,Amino acids and derivatives
102672,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Thioethers
102757,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Amino acids and derivatives
102761,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Alkanolamines
102808,Yes,NA,NA,NA,NA,NA,Halogenated hydrocarbons,Fatty acids,Sulfones
1028994,Yes,NA,NA,NA,NA,NA,Wax monoesters,Amino acids and Peptides,Amino acids and derivatives
1029487,Yes,NA,NA,NA,NA,NA,Wax monoesters,Fatty acids,Alpha amino acid esters
1032003,Yes,NA,NA,NA,NA,NA,N-acyl amines,Alkaloids,Lipids and lipid-like molecules
1032208,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Long-chain fatty acids
103628,Yes,NA,NA,NA,NA,NA,Bisabolane sesquiterpenoids,Terpenoids,Benzene and substituted derivatives
104020,Yes,NA,NA,NA,NA,NA,NA,NA,NA
104023,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1040468,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Dipeptides
1040482,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Dipeptides
1041713,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Alpha amino acids and derivatives
104830,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1060062,Yes,NA,NA,NA,NA,NA,Dipeptides,Alkaloids,Phenol ethers
1060220,Yes,NA,NA,NA,NA,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1061256,Yes,Eicosanoids_11-HEPE_C20H30O3,M+NH4,336.253,318.22,Gold,Pyridine alkaloids,Alkaloids,Alpha amino acids and derivatives
1062618,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1062620,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1062626,Yes,NA,NA,NA,NA,NA,NA,NA,NA
106676,Yes,NA,NA,NA,NA,NA,NA,NA,NA
106905,Yes,NA,NA,NA,NA,NA,NA,NA,NA
108168,Yes,NA,NA,NA,NA,NA,NA,NA,NA
108221,Yes,NA,NA,NA,NA,NA,NA,NA,NA
108243,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1083702,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Heteroaromatic compounds
1084057,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Eicosanoids
1084088,Yes,NA,NA,NA,NA,NA,Labdane diterpenoids,Terpenoids,Diterpenoids
1084349,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Lineolic acids and derivatives
1084422,Yes,NA,NA,NA,NA,NA,Epoxy fatty acids,Fatty acids,Lineolic acids and derivatives
1087281,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,N-acyl amines
1088,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1089129,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,N-acyl amines
1089387,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,N-acyl amines
1089604,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Fatty amides
1089628,Yes,NA,NA,NA,NA,NA,Primary amides,Fatty acids,Pyrrolidines
1089734,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Fatty amides
1091501,Yes,NA,NA,NA,NA,NA,Primary amides,Fatty acids,Fatty amides
1092692,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Fatty amides
109335,Yes,NA,NA,NA,NA,NA,Wax monoesters,Fatty acids,Monocarboxylic acids and derivatives
109354,Yes,NA,NA,NA,NA,NA,Simple coumarins,Shikimates and Phenylpropanoids,Pyranones and derivatives
109386,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Unsaturated fatty acids
109403,Yes,NA,NA,NA,NA,NA,Simple phenolic acids,Shikimates and Phenylpropanoids,Heteroaromatic compounds
109539,Yes,NA,NA,NA,NA,NA,Simple phenolic acids,Shikimates and Phenylpropanoids,Enoate esters
109585,Yes,NA,NA,NA,NA,NA,Hydrocarbons,Fatty acids,Organothiophosphorus compounds
109644,Yes,NA,NA,NA,NA,NA,Hydrocarbons,Fatty acids,Organothiophosphorus compounds
109663,Yes,NA,NA,NA,NA,NA,Phenazine alkaloids,Alkaloids,Benzenoids
109772,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Monocarboxylic acids and derivatives
109926,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Carboxylic acids
110258,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Organic sulfuric acids and derivatives
1117429,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Peptides
1117435,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Dipeptides
111850,Yes,NA,NA,NA,NA,NA,pteridine alkaloids,Alkaloids,Azoles
1119863,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,N-acyl-alpha amino acids and derivatives
112094,Yes,NA,NA,NA,NA,NA,Purine alkaloids,Alkaloids,Thiadiazoles
112535,Yes,NA,NA,NA,NA,NA,Quinoline alkaloids,Alkaloids,Benzenoids
1125663,Yes,NA,NA,NA,NA,NA,Polyamines,Fatty acids,Nitriles
1125693,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Phosphinic acid esters
112787,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Proline and derivatives
1132239,Yes,NA,NA,NA,NA,NA,Tripeptides,Amino acids and Peptides,Dipeptides
113666,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1139306,Yes,NA,NA,NA,NA,NA,Unsaturated fatty acids,Fatty acids,Fatty acid methyl esters
114089,Yes,NA,NA,NA,NA,NA,Aminoacids,Alkaloids,Organic phosphonic acids
1141284,Yes,NA,NA,NA,NA,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1141562,Yes,NA,NA,NA,NA,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
114276,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids and derivatives
1143357,Yes,NA,NA,NA,NA,NA,Sphingoid bases,Fatty acids,Alpha amino acids and derivatives
1144,Yes,NA,NA,NA,NA,NA,NA,NA,NA
114409,Yes,NA,NA,NA,NA,NA,Simple indole alkaloids,Alkaloids,Indoles
1145409,Yes,NA,NA,NA,NA,NA,Quinolizidine alkaloids,Alkaloids,Alpha amino acids and derivatives
114570,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
114572,Yes,NA,NA,NA,NA,NA,NA,NA,NA
115114,Yes,NA,NA,NA,NA,NA,Piperidine alkaloids,Alkaloids,Azoles
115198,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Monoalkylamines
115210,Yes,NA,NA,NA,NA,NA,Simple indole alkaloids,Alkaloids,Benzenoids
115221,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
115260,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Carboxylic acids and derivatives
115287,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
115292,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
115623,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
115792,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
115865,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Organic phosphoramides
115993,Yes,NA,NA,NA,NA,NA,Simple indole alkaloids,Alkaloids,Indoles and derivatives
116032,Yes,NA,NA,NA,NA,NA,Pyridine alkaloids,Alkaloids,Azoles
117014,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
117156,Yes,NA,NA,NA,NA,NA,Phenylalanine-derived alkaloids,Fatty acids,Isothiocyanates
117473,Yes,NA,NA,NA,NA,NA,Purine alkaloids,Alkaloids,Xanthines
117717,Yes,NA,NA,NA,NA,NA,Piperidine alkaloids,Alkaloids,Azacyclic compounds
118226,Yes,NA,NA,NA,NA,NA,Oxygenated hydrocarbons,Terpenoids,Sulfoxides
118256,Yes,NA,NA,NA,NA,NA,Fatty alcohols,Polyketides,Thiophenol ethers
118261,Yes,NA,NA,NA,NA,NA,Fatty alcohols,Polyketides,Thiophenol ethers
118270,Yes,NA,NA,NA,NA,NA,Carbocyclic fatty acids,Fatty acids,Thia fatty acids
1183,Yes,NA,NA,NA,NA,NA,NA,NA,NA
118394,Yes,NA,NA,NA,NA,NA,Menthane monoterpenoids,Terpenoids,Benzene and substituted derivatives
1185,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1186807,Yes,Spectral Match to Phe-Trp from NIST14,M+H,352.165,0,Bronze,Aminoacids,Amino acids and Peptides,Peptides
1186810,Yes,Spectral Match to Trp-Phe from NIST14,M+H,352.165,351.158,Bronze,Dipeptides,Amino acids and Peptides,Dipeptides
1186906,Yes,NA,NA,NA,NA,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1188473,Yes,NA,NA,NA,NA,NA,Phenazine alkaloids,Alkaloids,Alkylarylthioethers
1188696,Yes,NA,NA,NA,NA,NA,Glycerophosphoethanolamines,Fatty acids,Dithiophosphate S-esters
119116,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
119327,Yes,NA,NA,NA,NA,NA,NA,NA,NA
119392,Yes,NA,NA,NA,NA,NA,Imidazole alkaloids,Alkaloids,Substituted pyrroles
119607,Yes,NA,NA,NA,NA,NA,Aminoacids,Alkaloids,Benzenoids
1197903,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Aralkylamines
119843,Yes,NA,NA,NA,NA,NA,NA,NA,NA
120281,Yes,NA,NA,NA,NA,NA,pteridine alkaloids,Alkaloids,"1,2,4-triazines"
1203541,Yes,NA,NA,NA,NA,NA,Pregnane steroids,Terpenoids,3-oxo delta-5-steroids
1203767,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,N-aliphatic s-triazines
1205654,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Lineolic acids and derivatives
1205909,Yes,NA,NA,NA,NA,NA,N-acyl amines,Amino acids and Peptides,Amino acids and derivatives
1205937,Yes,"Spectral Match to Monolinolenin (9c,12c,15c) from NIST14",M+H,353.27,0,Bronze,Monoacylglycerols,Fatty acids,1-monoacylglycerols
1206394,Yes,NA,NA,NA,NA,NA,Piperidine alkaloids,Amino acids and Peptides,Alpha amino acid amides
1207209,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Monoacylglycerols
1209510,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Amino acids and derivatives
1209568,Yes,NA,NA,NA,NA,NA,Open-chain polyketides,Fatty acids,Amino acids and derivatives
1209673,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,N-acyl-alpha amino acids and derivatives
1210,Yes,NA,NA,NA,NA,NA,NA,NA,NA
121542,Yes,NA,NA,NA,NA,NA,Cinnamic acids and derivatives,Shikimates and Phenylpropanoids,Benzene and substituted derivatives
1216451,Yes,NA,NA,NA,NA,NA,Acyclic guanidine alkaloids,Alkaloids,"1,3,5-triazines"
1216761,Yes,NA,NA,NA,NA,NA,Acyclic guanidine alkaloids,Alkaloids,"1,3,5-triazines"
121689,Yes,NA,NA,NA,NA,NA,Cinnamic acids and derivatives,Shikimates and Phenylpropanoids,Cinnamic acids
121722,Yes,NA,NA,NA,NA,NA,Aminoacids,Alkaloids,Thiadiazoles
121741,Yes,NA,NA,NA,NA,NA,Cinnamic acids and derivatives,Shikimates and Phenylpropanoids,Cinnamic acids and derivatives
121829,Yes,NA,NA,NA,NA,NA,pteridine alkaloids,Alkaloids,Aminotriazines
121918,Yes,NA,NA,NA,NA,NA,pteridine alkaloids,Alkaloids,Alkylarylthioethers
121934,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Amino acids and derivatives
1222102,Yes,Cholic acid,M-3H2O+H,355.263,408.288,Bronze,Pregnane steroids,Terpenoids,3-oxo delta-4-steroids
1222456,Yes,NA,NA,NA,NA,NA,Androstane steroids,Terpenoids,Oxosteroids
1222508,Yes,NA,NA,NA,NA,NA,Cholestane steroids,Terpenoids,3-hydroxysteroids
1222722,Yes,Cholic acid,M-3H2O+H,355.263,408.288,Bronze,Pregnane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
1223064,Yes,"""(4R)-4-((5S,7R,9S,10S,13R,14S,17R)-7-hydroxy-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",M-2H2O+H,355.263,390.277,Gold,Cholestane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
122309,Yes,NA,NA,NA,NA,NA,Aminoacids,Alkaloids,Azoles
1223171,Yes,NA,NA,NA,NA,NA,Fatty alcohols,Fatty acids,3-hydroxysteroids
1223387,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Lineolic acids and derivatives
1223404,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Hydroxamic acids
1224142,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,N-acyl amines
1224709,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Lineolic acids and derivatives
1225191,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Long-chain fatty alcohols
1225596,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Lineolic acids and derivatives
1225653,Yes,Spectral Match to 1-Linoleoylglycerol from NIST14,M+H,355.284,354.277,Bronze,Monoacylglycerols,Fatty acids,Fatty alcohols
1226323,Yes,Spectral Match to 1-Linoleoylglycerol from NIST14,M+H,355.284,354.277,Bronze,Monoacylglycerols,Fatty acids,Lineolic acids and derivatives
1226469,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Lineolic acids and derivatives
1226915,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Lineolic acids and derivatives
122742,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
122792,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
122811,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
122821,Yes,NA,NA,NA,NA,NA,Aminoacids,Alkaloids,Amino acids
122879,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
122926,Yes,NA,NA,NA,NA,NA,Aminoacids,Alkaloids,Amino acids and derivatives
122971,Yes,Spectral Match to L-Tryptophan from NIST14,M+H,205.098,204.09,Bronze,Aminoacids,Amino acids and Peptides,Alpha amino acids and derivatives
123079,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
123084,Yes,Spectral Match to L-Tryptophan from NIST14,M+H,205.099,204.09,Bronze,Pyridine alkaloids,Alkaloids,Alpha amino acids
123089,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
123090,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
123218,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids
1234206,Yes,"""(R)-4-((3R,5R,6R,8S,9S,10R,13R,14S,17R)-3,6-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",M-2H2O+H,357.279,392.293,Gold,Cholestane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
1234324,Yes,NA,NA,NA,NA,NA,Pimarane and Isopimarane diterpenoids,Terpenoids,Diterpenoids
1234334,Yes,NA,NA,NA,NA,NA,Pregnane steroids,Terpenoids,Steroids and steroid derivatives
1234435,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Amino acids and derivatives
1235277,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Amino acids
1235317,Yes,NA,NA,NA,NA,NA,Monoacylglycerols,Fatty acids,Monoacylglycerols
123624,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Alpha amino acids
1236367,Yes,NA,NA,NA,NA,NA,Dipeptides,Amino acids and Peptides,Peptides
1237215,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Organic phosphoric acids and derivatives
1237249,Yes,NA,NA,NA,NA,NA,Open-chain polyketides,Fatty acids,Dicarboxylic acids and derivatives
1237809,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Semicarbazides
1237810,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Dialkylthioethers
1243214,Yes,NA,NA,NA,NA,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1243241,Yes,NA,NA,NA,NA,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1244261,Yes,NA,NA,NA,NA,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1244602,Yes,NA,NA,NA,NA,NA,Dicarboxylic acids,Fatty acids,Fatty acid esters
1245593,Yes,NA,NA,NA,NA,NA,Pyrrolidine alkaloids,Alkaloids,Amino acids and derivatives
1245612,Yes,NA,NA,NA,NA,NA,N-acyl amines,Fatty acids,Alpha amino acids
1246041,Yes,NA,NA,NA,NA,NA,Piperidine alkaloids,Fatty acids,Amino acids and derivatives
1247165,Yes,NA,NA,NA,NA,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1251363,Yes,NA,NA,NA,NA,NA,Dipeptides,Alkaloids,Alpha amino acid esters
1252887,Yes,NA,NA,NA,NA,NA,Wax monoesters,Fatty acids,Dicarboxylic acids and derivatives
1266196,Yes,NA,NA,NA,NA,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1268016,Yes,NA,NA,NA,NA,NA,Aminoacids,Alkaloids,Thiadiazole sulfonamides
1268251,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids and derivatives
1268271,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Organic sulfuric acids and derivatives
128022,Yes,NA,NA,NA,NA,NA,NA,NA,NA
128072,Yes,NA,NA,NA,NA,NA,Phenylalanine-derived alkaloids,Fatty acids,Benzene and substituted derivatives
128152,Yes,NA,NA,NA,NA,NA,NA,NA,NA
128394,Yes,NA,NA,NA,NA,NA,Quinolizidine alkaloids,Alkaloids,Alkaloids and derivatives
1284298,Yes,NA,NA,NA,NA,NA,Purine nucleos(t)ides,Carbohydrates,N-acyl-alpha amino acids
128594,Yes,NA,NA,NA,NA,NA,NA,NA,NA
128656,Yes,NA,NA,NA,NA,NA,Polyamines,Alkaloids,Amino acids and derivatives
128800,Yes,NA,NA,NA,NA,NA,Dipeptides,Alkaloids,Alpha amino acids and derivatives
128825,Yes,NA,NA,NA,NA,NA,NA,NA,NA
128986,Yes,NA,NA,NA,NA,NA,Phenylalanine-derived alkaloids,Alkaloids,Benzenoids
129265,Yes,NA,NA,NA,NA,NA,Pyridine alkaloids,Alkaloids,Indoles
129427,Yes,NA,NA,NA,NA,NA,Quinolizidine alkaloids,Alkaloids,Amino acids and derivatives
1294970,Yes,NA,NA,NA,NA,NA,NA,NA,NA
129520,Yes,NA,NA,NA,NA,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids and derivatives
129535,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1297218,Yes,NA,NA,NA,NA,NA,Penicillins,Amino acids and Peptides,N-acyl-alpha amino acids and derivatives
1298087,Yes,NA,NA,NA,NA,NA,Tripeptides,Amino acids and Peptides,Peptides
130244,Yes,NA,NA,NA,NA,NA,Pyridine alkaloids,Alkaloids,3-alkylindoles
1306390,Yes,NA,NA,NA,NA,NA,Pregnane steroids,Terpenoids,Azasteroids and derivatives
1306522,Yes,NA,NA,NA,NA,NA,Pregnane steroids,Fatty acids,Azasteroids and derivatives
1306605,Yes,NA,NA,NA,NA,NA,Pregnane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
1306610,Yes,NA,NA,NA,NA,NA,N-acyl amines,Alkaloids,Amino acids and derivatives
1307874,Yes,NA,NA,NA,NA,NA,Penicillins,Amino acids and Peptides,N-acyl-alpha amino acids and derivatives
1307985,Yes,NA,NA,NA,NA,NA,Penicillins,Amino acids and Peptides,Alpha amino acids
1327596,Yes,NA,NA,NA,NA,NA,Open-chain polyketides,Polyketides,Carboxylic acid esters
132808,Yes,NA,NA,NA,NA,NA,Simple indole alkaloids,Alkaloids,Benzenoids
1328514,Yes,NA,NA,NA,NA,NA,Prostaglandins,Fatty acids,Prostaglandins and related compounds
133176,Yes,NA,NA,NA,NA,NA,Simple indole alkaloids,Alkaloids,3-alkylindoles
133461,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133474,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133476,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133477,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133479,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133489,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133490,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133496,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133512,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133517,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133529,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133537,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133539,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133544,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133584,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133596,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133614,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133632,Yes,NA,NA,NA,NA,NA,NA,NA,NA
133634,Yes,NA,NA,NA,NA,NA,NA,NA,NA
